Date,Open,High,Low,Close,Volume
1985-10-01,2.77,2.8,2.76,2.8,26406897
1985-10-02,2.8,2.81,2.77,2.77,28386207
1985-10-03,2.77,2.78,2.75,2.77,25396552
1985-10-04,2.77,2.77,2.75,2.75,25500000
1985-10-07,2.75,2.75,2.7,2.7,22179310
1985-10-08,2.7,2.71,2.67,2.68,24844828
1985-10-09,2.68,2.72,2.68,2.72,26931034
1985-10-10,2.72,2.74,2.7,2.74,26696552
1985-10-11,2.74,2.78,2.74,2.78,27279310
1985-10-14,2.78,2.83,2.78,2.83,21227586
1985-10-15,2.83,2.85,2.82,2.83,29544828
1985-10-16,2.83,2.86,2.83,2.86,30193103
1985-10-17,2.86,2.88,2.86,2.87,32920690
1985-10-18,2.87,2.87,2.85,2.86,31186207
1985-10-21,2.86,2.86,2.84,2.84,24620690
1985-10-22,2.84,2.87,2.84,2.86,27196552
1985-10-23,2.86,2.89,2.86,2.88,34862069
1985-10-24,2.88,2.9,2.88,2.89,32906897
1985-10-25,2.89,2.89,2.84,2.85,28593103
1985-10-28,2.85,2.85,2.83,2.85,22665517
1985-10-29,2.85,2.89,2.85,2.88,28172414
1985-10-30,2.88,2.9,2.88,2.89,33800000
1985-10-31,2.89,2.9,2.88,2.89,29296552
1985-11-01,2.89,2.92,2.89,2.91,31065517
1985-11-04,2.91,2.93,2.9,2.9,25979310
1985-11-05,2.9,2.91,2.9,2.91,30234483
1985-11-06,2.91,2.94,2.91,2.93,32241379
1985-11-07,2.93,2.95,2.93,2.94,30565517
1985-11-08,2.94,2.98,2.94,2.98,29917241
1985-11-11,2.98,3.01,2.98,3.01,27720690
1985-11-12,3.01,3.05,3.01,3.05,37344828
1985-11-13,3.05,3.05,3.02,3.03,32141379
1985-11-14,3.03,3.05,3.02,3.05,33806897
1985-11-15,3.05,3.08,3.04,3.05,32851724
1985-11-18,3.05,3.06,3.04,3.05,28348276
1985-11-19,3.05,3.07,3.04,3.06,35103448
1985-11-20,3.06,3.07,3.06,3.06,33655172
1985-11-21,3.06,3.1,3.06,3.09,41344828
1985-11-22,3.09,3.11,3.09,3.1,35931034
1985-11-25,3.1,3.1,3.07,3.08,28768966
1985-11-26,3.08,3.11,3.08,3.1,32286207
1985-11-27,3.1,3.15,3.1,3.14,35620690
1985-11-29,3.14,3.16,3.14,3.15,19858621
1985-12-02,3.15,3.16,3.12,3.13,29572414
1985-12-03,3.13,3.14,3.12,3.13,29151724
1985-12-04,3.13,3.2,3.13,3.2,40413793
1985-12-05,3.2,3.25,3.2,3.21,48793103
1985-12-06,3.21,3.21,3.17,3.17,38206897
1985-12-09,3.17,3.19,3.17,3.19,36137931
1985-12-10,3.19,3.21,3.18,3.2,38551724
1985-12-11,3.2,3.24,3.2,3.23,43620690
1985-12-12,3.23,3.25,3.23,3.24,40448276
1985-12-13,3.24,3.3,3.24,3.3,45413793
1985-12-16,3.3,3.33,3.3,3.32,39758621
1985-12-17,3.31,3.32,3.28,3.29,41724138
1985-12-18,3.29,3.3,3.27,3.28,47551724
1985-12-19,3.28,3.3,3.27,3.3,39620690
1985-12-20,3.3,3.31,3.29,3.31,39931034
1985-12-23,3.31,3.31,3.26,3.27,34279310
1985-12-24,3.27,3.27,3.23,3.25,22165517
1985-12-26,3.25,3.27,3.25,3.26,18586207
1985-12-27,3.26,3.29,3.26,3.29,25831034
1985-12-30,3.29,3.3,3.28,3.3,32006897
1985-12-31,3.3,3.32,3.3,3.31,38862069
1986-01-02,3.31,3.31,3.28,3.28,26141379
1986-01-03,3.28,3.28,3.25,3.26,30751724
1986-01-06,3.26,3.27,3.25,3.26,34220690
1986-01-07,3.26,3.32,3.26,3.32,43965517
1986-01-08,3.32,3.35,3.28,3.28,48275862
1986-01-09,3.28,3.28,3.2,3.22,41172414
1986-01-10,3.22,3.25,3.22,3.24,33965517
1986-01-13,3.24,3.24,3.22,3.23,30858621
1986-01-14,3.23,3.25,3.22,3.23,35482759
1986-01-15,3.23,3.29,3.23,3.29,40931034
1986-01-16,3.29,3.33,3.29,3.33,42724138
1986-01-17,3.33,3.34,3.32,3.32,38896552
1986-01-20,3.32,3.32,3.28,3.29,30837931
1986-01-21,3.29,3.3,3.26,3.28,38172414
1986-01-22,3.28,3.29,3.24,3.24,37103448
1986-01-23,3.24,3.24,3.21,3.23,38310345
1986-01-24,3.23,3.26,3.23,3.26,40793103
1986-01-27,3.26,3.27,3.24,3.27,38103448
1986-01-28,3.27,3.3,3.27,3.3,39793103
1986-01-29,3.3,3.35,3.3,3.33,45551724
1986-01-30,3.33,3.33,3.3,3.3,37586207
1986-01-31,3.3,3.33,3.3,3.32,37689655
1986-02-03,3.32,3.36,3.32,3.36,37103448
1986-02-04,3.36,3.39,3.36,3.36,43206897
1986-02-05,3.36,3.39,3.36,3.39,36310345
1986-02-06,3.39,3.42,3.39,3.42,41275862
1986-02-07,3.41,3.44,3.39,3.44,38310345
1986-02-10,3.44,3.46,3.43,3.45,37034483
1986-02-11,3.45,3.47,3.45,3.46,39068966
1986-02-12,3.46,3.47,3.45,3.47,42137931
1986-02-13,3.47,3.48,3.46,3.48,44344828
1986-02-14,3.48,3.52,3.48,3.5,42206897
1986-02-18,3.5,3.52,3.5,3.52,43448276
1986-02-19,3.52,3.52,3.49,3.49,47206897
1986-02-20,3.49,3.5,3.47,3.5,43068966
1986-02-21,3.5,3.53,3.5,3.53,50586207
1986-02-24,3.53,3.53,3.5,3.5,44103448
1986-02-25,3.5,3.5,3.47,3.49,41000000
1986-02-26,3.49,3.49,3.47,3.47,42827586
1986-02-27,3.47,3.51,3.47,3.51,43000000
1986-02-28,3.52,3.55,3.51,3.51,45034483
1986-03-03,3.51,3.52,3.49,3.49,41241379
1986-03-04,3.49,3.54,3.49,3.51,46551724
1986-03-05,3.51,3.52,3.49,3.51,40482759
1986-03-06,3.51,3.53,3.5,3.52,41482759
1986-03-07,3.52,3.53,3.51,3.52,43310345
1986-03-10,3.52,3.56,3.52,3.56,38931034
1986-03-11,3.56,3.64,3.56,3.63,46482759
1986-03-12,3.63,3.68,3.63,3.67,53413793
1986-03-13,3.67,3.68,3.65,3.68,48310345
1986-03-14,3.68,3.69,3.66,3.68,52482759
1986-03-17,3.68,3.68,3.64,3.66,44655172
1986-03-18,3.66,3.7,3.65,3.69,48103448
1986-03-19,3.69,3.71,3.69,3.69,47206897
1986-03-20,3.69,3.71,3.68,3.7,52206897
1986-03-21,3.7,3.72,3.69,3.7,45827586
1986-03-24,3.7,3.7,3.66,3.68,37793103
1986-03-25,3.68,3.69,3.67,3.69,37931034
1986-03-26,3.69,3.69,3.67,3.68,43827586
1986-03-27,3.68,3.73,3.68,3.71,47034483
1986-03-31,3.71,3.73,3.7,3.72,37862069
1986-04-01,3.72,3.73,3.7,3.71,43206897
1986-04-02,3.71,3.72,3.68,3.72,41344828
1986-04-03,3.72,3.75,3.71,3.72,41034483
1986-04-04,3.72,3.72,3.67,3.68,38517241
1986-04-07,3.68,3.68,3.62,3.65,37034483
