Date,Open,High,Low,Close,Volume,ATR,FastSMA,SlowSMA,Bias,GeoLevel,PhiLevel,PriceConfluence,TimeConfluence
2023-02-08T00:00:00.000Z,413.13,414.53,409.93,410.65,76227462,6.38,409.31,395.33,BULLISH,253.78,664.43,0,0
2023-02-09T00:00:00.000Z,414.41,414.57,405.81,407.09,78694859,6.46,409.54,395.55,BULLISH,251.58,658.67,0,1
2023-02-10T00:00:00.000Z,405.86,408.44,405.01,408.04,70769715,6.21,409.78,395.81,BULLISH,252.17,660.21,0,0
2023-02-13T00:00:00.000Z,408.72,412.97,408.24,412.83,64913539,6.31,411.0,395.91,BULLISH,255.13,667.96,0,0
2023-02-14T00:00:00.000Z,411.24,415.05,408.511,412.64,88389313,6.27,411.62,396.01,BULLISH,255.01,667.65,0,1
2023-02-15T00:00:00.000Z,410.35,414.06,409.47,413.98,61685279,6.25,411.94,396.16,BULLISH,255.84,669.82,0,0
2023-02-16T00:00:00.000Z,408.79,412.91,408.14,408.28,76431469,6.33,411.09,396.33,BULLISH,252.32,660.6,0,1
2023-02-17T00:00:00.000Z,406.06,407.51,404.05,407.26,89257815,6.24,410.58,396.6,BULLISH,251.69,658.95,0,0
2023-02-21T00:00:00.000Z,403.06,404.16,398.82,399.09,82655924,6.42,409.5,396.72,BULLISH,246.64,645.73,0,1
2023-02-22T00:00:00.000Z,399.52,401.13,397.02,398.54,83742293,5.91,407.84,396.76,BULLISH,246.3,644.84,0,0
2023-02-23T00:00:00.000Z,401.56,402.2,396.25,400.66,96242399,5.79,406.84,396.91,BULLISH,247.61,648.27,0,1
2023-02-24T00:00:00.000Z,395.42,397.25,393.64,396.38,108194413,5.88,405.77,396.86,BULLISH,244.96,641.34,0,0
2023-02-27T00:00:00.000Z,399.87,401.29,396.75,397.73,80444736,5.92,404.74,396.77,BULLISH,245.8,643.53,0,0
2023-02-28T00:00:00.000Z,397.23,399.28,396.15,396.26,96438567,5.51,403.08,396.71,BULLISH,244.89,641.15,0,1
2023-03-01T00:00:00.000Z,395.41,396.69,393.38,394.74,99706823,5.37,401.29,396.81,BULLISH,243.95,638.69,2,0
2023-03-02T00:00:00.000Z,392.68,398.69,392.33,397.81,85404726,5.2,399.68,397.1,BULLISH,245.85,643.66,2,2
2023-03-03T00:00:00.000Z,399.71,404.45,399.03,404.19,90119952,5.43,399.27,397.59,BULLISH,249.79,653.98,2,0
2023-03-06T00:00:00.000Z,405.05,407.45,404.01,404.47,72795946,5.32,398.99,398.07,BULLISH,249.96,654.43,2,0
2023-03-07T00:00:00.000Z,404.42,404.67,397.625,398.27,108310596,5.36,398.9,398.31,BULLISH,246.13,644.4,2,2
2023-03-08T00:00:00.000Z,398.39,399.71,396.59,398.92,74746632,5.25,398.94,398.67,BULLISH,246.53,645.45,2,0
2023-03-09T00:00:00.000Z,399.74,401.48,390.53,391.56,111945322,5.62,398.03,398.84,BEARISH,241.98,633.54,2,2
2023-03-10T00:00:00.000Z,390.99,393.16,384.32,385.91,189252996,5.95,396.99,398.93,BEARISH,238.49,624.4,2,0
2023-03-13T00:00:00.000Z,381.81,390.39,380.65,385.36,157789967,6.04,395.75,399.11,BEARISH,238.15,623.51,2,0
2023-03-14T00:00:00.000Z,390.5,393.45,387.05,391.73,149752357,6.32,395.3,399.27,BEARISH,242.09,633.82,2,2
2023-03-15T00:00:00.000Z,385.89,389.49,383.71,389.28,172996933,6.47,394.75,399.41,BEARISH,240.58,629.86,2,0
2023-03-16T00:00:00.000Z,386.82,396.47,386.29,396.11,143753940,6.7,394.58,399.72,BEARISH,244.8,640.91,2,2
2023-03-17T00:00:00.000Z,393.22,394.4,388.55,389.99,140553411,6.89,393.16,399.84,BEARISH,241.01,631.0,2,0
