Date,Open,High,Low,Close,Volume
1993-01-04,43.57,43.73,43.45,43.54,111783333
1993-01-05,43.54,43.54,43.36,43.43,133527778
1993-01-06,43.43,43.52,43.25,43.45,164022222
1993-01-07,43.45,43.55,42.98,43.07,169361111
1993-01-08,43.07,43.07,42.69,42.9,146372222
1993-01-11,42.9,43.1,42.9,43.1,120638889
1993-01-12,43.1,43.14,42.82,43.1,133005556
1993-01-13,43.1,43.34,43,43.3,136311111
1993-01-14,43.31,43.6,43.31,43.59,156133333
1993-01-15,43.59,43.95,43.58,43.72,172066667
1993-01-18,43.71,43.71,43.59,43.68,108905556
1993-01-19,43.68,43.77,43.46,43.51,157355556
1993-01-20,43.51,43.62,43.34,43.34,149327778
1993-01-21,43.34,43.58,43.25,43.55,143122222
1993-01-22,43.55,43.78,43.55,43.61,162955556
1993-01-25,43.61,44.05,43.61,44,160411111
1993-01-26,44,44.27,43.95,44,174505556
1993-01-27,44,44,43.68,43.81,153900000
1993-01-28,43.81,43.91,43.73,43.87,142766667
1993-01-29,43.87,43.89,43.69,43.88,137333333
1993-02-01,43.88,44.25,43.88,44.25,132538889
1993-02-02,44.25,44.29,44.08,44.26,150866667
1993-02-03,44.26,44.74,44.26,44.72,191894444
1993-02-04,44.72,44.99,44.72,44.96,195077778
1993-02-05,44.96,44.96,44.7,44.89,180394444
1993-02-08,44.89,45,44.77,44.78,135222222
1993-02-09,44.8,44.8,44.45,44.53,133561111
1993-02-10,44.53,44.64,44.42,44.62,139950000
1993-02-11,44.62,44.94,44.62,44.77,142883333
1993-02-12,44.77,44.77,44.46,44.46,120450000
1993-02-16,44.45,44.45,43.35,43.39,184916667
1993-02-17,43.39,43.4,43.09,43.33,167894444
1993-02-18,43.33,43.78,42.82,43.19,172877778
1993-02-19,43.19,43.43,43.17,43.42,172611111
1993-02-22,43.42,43.65,43.35,43.52,173094444
1993-02-23,43.53,43.68,43.24,43.48,182811111
1993-02-24,43.48,44.09,43.47,44.09,175972222
1993-02-25,44.07,44.23,43.97,44.23,140477778
1993-02-26,44.23,44.38,44.1,44.34,130088889
1993-03-01,44.34,44.42,44.13,44.2,129144444
1993-03-02,44.2,44.79,44.11,44.79,149861111
1993-03-03,44.79,45,44.77,44.93,154100000
1993-03-04,44.93,44.95,44.67,44.73,130122222
1993-03-05,44.73,44.96,44.56,44.61,140822222
1993-03-08,44.61,45.47,44.61,45.47,152938889
1993-03-09,45.47,45.55,45.37,45.44,161483333
1993-03-10,45.44,45.63,45.27,45.63,142005556
1993-03-11,45.64,45.68,45.35,45.37,142811111
1993-03-12,45.37,45.37,44.7,44.98,141900000
1993-03-15,44.98,45.14,44.94,45.14,108850000
1993-03-16,45.14,45.24,45.1,45.14,121566667
