Date,Open,High,Low,Close,Volume,ATR,FastSMA,SlowSMA,Bias,GeoLevel,PhiLevel,PriceConfluence,TimeConfluence
2023-05-08 00:00:00-04:00,37.79,37.84,37.38,37.43,7680000,,,,NEUTRAL,38.98,60.57,0,1
2023-05-09 00:00:00-04:00,37.22,37.29,36.94,37.09,15114400,,,,NEUTRAL,38.63,60.02,1,2
2023-05-10 00:00:00-04:00,37.54,37.54,36.71,37.12,11730200,,,,NEUTRAL,38.66,60.05,1,2
2023-05-11 00:00:00-04:00,36.76,36.88,36.58,36.75,12849800,,,,NEUTRAL,38.28,59.47,1,2
2023-05-12 00:00:00-04:00,36.92,36.98,36.5,36.82,8287200,,,,NEUTRAL,38.35,59.57,1,1
2023-05-15 00:00:00-04:00,37.01,37.16,36.78,37.13,6487200,,,,NEUTRAL,38.67,60.08,1,1
2023-05-16 00:00:00-04:00,36.93,36.97,36.5,36.52,8346400,,,,NEUTRAL,38.04,59.09,1,2
2023-05-17 00:00:00-04:00,36.69,36.9,36.52,36.76,10505600,,,,NEUTRAL,38.29,59.47,2,2
2023-05-18 00:00:00-04:00,36.59,37.01,36.41,36.98,13352400,,36.96,,NEUTRAL,38.51,59.83,2,2
2023-05-19 00:00:00-04:00,37.24,37.26,36.87,37.07,9943000,,36.91,,NEUTRAL,38.61,59.98,1,1
2023-05-22 00:00:00-04:00,37.14,37.25,36.81,36.88,8288600,,36.89,,NEUTRAL,38.41,59.67,0,1
2023-05-23 00:00:00-04:00,36.61,36.71,36.23,36.31,10494200,,36.8,,NEUTRAL,37.83,58.74,1,2
2023-05-24 00:00:00-04:00,36.15,36.18,35.82,35.89,14127600,,36.7,,NEUTRAL,37.4,58.07,1,2
2023-05-25 00:00:00-04:00,35.93,35.94,35.57,35.76,11713000,0.4485,36.59,,NEUTRAL,37.27,57.87,0,2
2023-05-26 00:00:00-04:00,36.03,36.17,35.78,35.94,15882600,0.4432,36.46,,NEUTRAL,37.46,58.16,2,1
2023-05-30 00:00:00-04:00,35.91,35.98,35.48,35.75,12780600,0.4546,36.37,,NEUTRAL,37.26,57.84,0,2
2023-05-31 00:00:00-04:00,35.55,35.66,35.22,35.37,13816800,0.427,36.22,,NEUTRAL,36.87,57.22,1,2
2023-06-01 00:00:00-04:00,35.55,35.94,35.39,35.84,14559600,0.4455,36.09,,NEUTRAL,37.35,57.99,2,2
2023-06-02 00:00:00-04:00,36.55,37.13,36.49,37.04,17659000,0.4566,36.09,,NEUTRAL,38.58,59.93,2,1
2023-06-05 00:00:00-04:00,37.12,37.43,36.88,37.01,14321400,0.4687,36.1,,NEUTRAL,38.55,59.89,0,1
2023-06-06 00:00:00-04:00,36.86,37.34,36.84,37.25,15206800,0.4714,36.21,36.6,BEARISH,38.79,60.27,2,2
2023-06-07 00:00:00-04:00,37.16,37.72,37.16,37.69,13330800,0.4842,36.41,36.62,BEARISH,39.24,60.99,1,2
