Date,Open,High,Low,Close,Volume,ATR,FastSMA,SlowSMA,Bias,GeoLevel,PhiLevel,PriceConfluence,TimeConfluence
2023-09-26 00:00:00-04:00,97.48,97.78,96.5,96.61,11490500,,,,NEUTRAL,99.09,156.32,0,2
2023-09-27 00:00:00-04:00,97.2,97.64,96.57,97.33,12676700,,,,NEUTRAL,99.81,157.48,2,2
2023-09-28 00:00:00-04:00,97.27,98.43,97.14,97.74,9804800,,,,NEUTRAL,100.23,158.15,1,2
2023-09-29 00:00:00-04:00,98.34,98.43,96.9,97.23,11041900,,,,NEUTRAL,99.71,157.31,1,1
2023-10-02 00:00:00-04:00,96.95,97.22,95.84,96.28,11079200,,,,NEUTRAL,98.75,155.78,1,1
2023-10-03 00:00:00-04:00,95.94,96.65,95.21,95.61,12055500,,,,NEUTRAL,98.07,154.69,1,2
2023-10-04 00:00:00-04:00,95.58,96.09,94.86,95.91,11394500,,,,NEUTRAL,98.38,155.19,1,2
2023-10-05 00:00:00-04:00,95.78,96.03,94.95,95.35,10336400,,,,NEUTRAL,97.8,154.27,0,2
2023-10-06 00:00:00-04:00,94.98,97.21,94.65,96.65,13842700,,96.52,,NEUTRAL,99.12,156.38,2,1
2023-10-09 00:00:00-04:00,97.03,98.28,96.84,98.17,11059700,,96.7,,NEUTRAL,100.66,158.83,1,1
2023-10-10 00:00:00-04:00,98.56,99.35,98.17,98.76,9658200,,96.86,,NEUTRAL,101.26,159.8,1,2
2023-10-11 00:00:00-04:00,99.02,99.4,98.58,99.36,7806500,,97.03,,NEUTRAL,101.86,160.76,1,2
2023-10-12 00:00:00-04:00,99.66,99.66,97.71,98.45,8102200,,97.17,,NEUTRAL,100.95,159.3,1,2
2023-10-13 00:00:00-04:00,98.56,98.92,97.15,97.58,9598000,1.4303,97.32,,NEUTRAL,100.07,157.89,1,1
2023-10-16 00:00:00-04:00,98.46,99.16,98.09,98.62,8344100,1.4153,97.65,,NEUTRAL,101.12,159.56,1,1
2023-10-17 00:00:00-04:00,98.18,99.57,98.14,98.92,10707200,1.4406,97.98,,NEUTRAL,101.43,160.06,2,2
2023-10-18 00:00:00-04:00,98.27,98.32,96.37,96.54,13582700,1.4879,98.12,,NEUTRAL,99.01,156.2,1,2
2023-10-19 00:00:00-04:00,96.73,97.29,95.44,95.64,12535100,1.5112,98.0,,NEUTRAL,98.11,154.75,0,2
2023-10-20 00:00:00-04:00,95.75,95.94,94.62,94.66,13641000,1.5071,97.61,,NEUTRAL,97.1,153.15,1,1
2023-10-23 00:00:00-04:00,94.51,95.54,94.17,94.22,12076800,1.5023,97.11,,NEUTRAL,96.66,152.44,0,1
2023-10-24 00:00:00-04:00,95.41,95.58,94.49,94.93,9324300,1.492,96.62,96.88,BEARISH,97.38,153.59,2,2
2023-10-25 00:00:00-04:00,94.78,94.87,93.67,93.71,10996000,1.5009,96.09,96.75,BEARISH,96.14,151.62,2,2
2023-10-26 00:00:00-04:00,93.76,94.43,93.26,93.31,15387400,1.4016,95.62,96.55,BEARISH,95.74,150.98,2,2
2023-10-27 00:00:00-04:00,93.36,93.52,92.18,92.49,13062000,1.394,94.93,96.3,BEARISH,94.91,149.65,1,1
2023-10-30 00:00:00-04:00,93.1,93.96,92.75,93.64,11242700,1.3961,94.35,96.13,BEARISH,96.07,151.51,2,1
2023-10-31 00:00:00-04:00,93.43,94.44,93.29,94.33,10540200,1.4194,94.1,96.04,BEARISH,96.77,152.63,1,2
2023-11-01 00:00:00-04:00,94.43,94.83,93.78,94.64,14715300,1.3543,93.99,95.99,BEARISH,97.09,153.12,2,2
2023-11-02 00:00:00-04:00,95.68,96.68,95.47,96.58,10739800,1.3139,94.2,96.03,BEARISH,99.06,156.27,1,2
2023-11-03 00:00:00-04:00,97.47,97.97,97.39,97.44,10001200,1.2783,94.56,96.13,BEARISH,99.92,157.65,1,1
2023-11-06 00:00:00-05:00,97.51,97.56,96.72,97.18,6899400,1.2365,94.81,96.15,BEARISH,99.66,157.24,0,1
2023-11-07 00:00:00-05:00,96.52,97.09,96.29,96.94,7244500,1.155,95.17,96.09,BEARISH,99.42,156.85,1,2
2023-11-08 00:00:00-05:00,97.15,97.47,96.77,97.16,7494200,1.0727,95.6,96.02,BEARISH,99.64,157.2,2,2
2023-11-09 00:00:00-05:00,97.77,97.94,96.77,96.95,12232900,1.0618,96.1,95.9,BULLISH,99.43,156.86,2,2
2023-11-10 00:00:00-05:00,97.49,98.45,97.14,98.35,9576200,1.0577,96.62,95.9,BULLISH,100.84,159.13,2,1
2023-11-13 00:00:00-05:00,98.12,98.66,97.95,98.44,6598000,1.031,97.07,95.94,BULLISH,100.93,159.27,2,1
2023-11-14 00:00:00-05:00,99.63,100.81,99.63,100.41,12873000,1.0296,97.72,96.02,BULLISH,102.93,162.46,3,2
2023-11-15 00:00:00-05:00,100.69,101.39,100.55,100.62,8516300,1.0063,98.16,96.1,BULLISH,103.15,162.81,2,2
2023-11-16 00:00:00-05:00,100.73,101.2,100.24,100.64,8611100,0.9796,98.52,96.3,BULLISH,103.16,162.84,3,2
2023-11-17 00:00:00-05:00,101.15,101.32,100.83,101.28,8034400,0.9282,98.98,96.57,BULLISH,103.82,163.88,2,1
2023-11-20 00:00:00-05:00,101.18,101.86,100.76,101.59,7338700,0.9248,99.49,96.9,BULLISH,104.13,164.37,2,1
2023-11-21 00:00:00-05:00,101.43,101.71,101.09,101.51,7676500,0.894,99.98,97.24,BULLISH,104.05,164.25,2,2
2023-11-22 00:00:00-05:00,101.49,102.05,101.28,101.73,9059700,0.8624,100.51,97.57,BULLISH,104.27,164.61,3,2
2023-11-24 00:00:00-05:00,101.77,102.18,101.72,101.98,4439200,0.8535,100.91,97.96,BULLISH,104.52,165.01,2,1
2023-11-27 00:00:00-05:00,101.66,101.74,101.25,101.41,9157900,0.8282,101.24,98.35,BULLISH,103.94,164.08,2,1
2023-11-28 00:00:00-05:00,101.55,102.02,101.02,101.17,7976000,0.8419,101.33,98.76,BULLISH,103.7,163.69,0,2
2023-11-29 00:00:00-05:00,101.73,102.06,101.35,101.55,9101400,0.8426,101.43,99.14,BULLISH,104.09,164.31,3,2
2023-11-30 00:00:00-05:00,101.74,102.72,101.43,102.66,14101600,0.8515,101.66,99.54,BULLISH,105.21,166.11,3,2
2023-12-01 00:00:00-05:00,102.76,104.35,102.68,104.29,13279800,0.8768,101.99,99.99,BULLISH,106.85,168.73,2,1
2023-12-04 00:00:00-05:00,103.47,104.51,103.47,104.46,11010900,0.9001,102.31,100.37,BULLISH,107.03,169.01,2,1
2023-12-05 00:00:00-05:00,104.02,104.18,103.48,103.61,10056300,0.8659,102.54,100.66,BULLISH,106.17,167.65,1,2
2023-12-06 00:00:00-05:00,104.08,104.7,103.91,104.07,8336300,0.8618,102.8,100.99,BULLISH,106.64,168.39,2,2
2023-12-07 00:00:00-05:00,104.3,104.48,103.87,104.17,8457600,0.8364,103.04,101.34,BULLISH,106.74,168.55,3,2
2023-12-08 00:00:00-05:00,104.21,105.0,104.17,104.5,7150000,0.8611,103.39,101.69,BULLISH,107.07,169.08,2,1
2023-12-11 00:00:00-05:00,104.76,105.62,104.71,105.49,9380200,0.8474,103.87,102.09,BULLISH,108.08,170.69,3,1
2023-12-12 00:00:00-05:00,105.65,106.19,105.3,105.97,6524600,0.8672,104.36,102.46,BULLISH,108.56,171.46,2,2
2023-12-13 00:00:00-05:00,105.97,107.35,105.42,107.15,12976800,0.9508,104.86,102.87,BULLISH,109.76,173.37,3,2
2023-12-14 00:00:00-05:00,107.89,108.79,107.75,108.53,15473800,0.9933,105.33,103.26,BULLISH,111.15,175.61,3,2
2023-12-15 00:00:00-05:00,108.28,108.74,107.86,108.39,13800900,1.0207,105.77,103.63,BULLISH,111.01,175.38,1,1
2023-12-18 00:00:00-05:00,108.66,108.73,108.27,108.39,6977200,0.9825,106.3,104.0,BULLISH,111.0,175.37,1,1
2023-12-19 00:00:00-05:00,108.69,109.34,108.63,109.22,5249400,0.9828,106.87,104.37,BULLISH,111.85,176.72,2,2
2023-12-20 00:00:00-05:00,108.44,109.34,107.39,107.46,8329600,1.0294,107.23,104.65,BULLISH,110.07,173.87,2,2
2023-12-21 00:00:00-05:00,108.22,108.62,107.73,108.57,6962100,0.9736,107.69,104.99,BULLISH,111.19,175.66,2,2
2023-12-22 00:00:00-05:00,108.79,109.47,108.66,109.09,5500100,0.9582,108.09,105.34,BULLISH,111.72,176.51,2,1
2023-12-26 00:00:00-05:00,109.18,110.12,109.01,109.86,5181600,0.9874,108.52,105.72,BULLISH,112.5,177.75,2,2
2023-12-27 00:00:00-05:00,109.84,110.28,109.66,110.02,5893900,0.976,108.84,106.13,BULLISH,112.66,178.02,3,2
2023-12-28 00:00:00-05:00,109.9,110.28,109.75,110.05,8240700,0.9707,109.01,106.55,BULLISH,112.69,178.07,3,2
2023-12-29 00:00:00-05:00,109.91,110.31,109.46,109.92,7936300,0.9724,109.18,106.95,BULLISH,112.56,177.85,1,1
2024-01-02 00:00:00-05:00,109.19,109.87,108.47,108.81,8558700,1.0072,109.22,107.24,BULLISH,111.43,176.05,1,2
2024-01-03 00:00:00-05:00,108.21,108.4,107.12,107.19,18631200,1.0351,109.0,107.38,BULLISH,109.79,173.43,1,2
2024-01-04 00:00:00-05:00,107.38,108.23,107.26,107.32,10715900,0.9663,108.98,107.51,BULLISH,109.93,173.65,1,2
2024-01-05 00:00:00-05:00,107.25,107.94,107.06,107.45,7888100,0.9543,108.86,107.7,BULLISH,110.06,173.85,1,1
2024-01-08 00:00:00-05:00,107.16,108.15,106.69,108.15,10855900,0.9967,108.75,107.89,BULLISH,110.77,174.99,2,1
2024-01-09 00:00:00-05:00,107.42,107.94,107.03,107.82,8452000,1.029,108.53,108.07,BULLISH,110.43,174.45,0,2
2024-01-10 00:00:00-05:00,107.84,108.5,107.74,108.37,9109100,1.0325,108.34,108.25,BULLISH,110.98,175.34,3,2
2024-01-11 00:00:00-05:00,108.39,108.55,107.23,108.12,9081700,0.9877,108.13,108.37,BEARISH,110.73,174.93,1,2
2024-01-12 00:00:00-05:00,108.48,108.72,107.68,108.11,6631000,0.9987,107.93,108.48,BEARISH,110.72,174.91,0,1
2024-01-16 00:00:00-05:00,107.57,107.65,106.66,107.02,10834200,1.0111,107.73,108.47,BEARISH,109.62,173.15,2,2
2024-01-17 00:00:00-05:00,106.25,106.98,106.02,106.29,7604700,1.0001,107.63,108.36,BEARISH,108.89,171.98,1,2
2024-01-18 00:00:00-05:00,106.69,107.9,106.55,107.73,9060600,1.0518,107.67,108.33,BEARISH,110.34,174.31,2,2
2024-01-19 00:00:00-05:00,107.98,108.71,107.13,108.43,10355700,1.1268,107.78,108.33,BEARISH,111.05,175.45,2,1
2024-01-22 00:00:00-05:00,108.81,109.55,108.81,109.27,9912900,1.1186,107.91,108.34,BEARISH,111.9,176.8,1,1
2024-01-23 00:00:00-05:00,109.3,109.66,108.71,109.19,10275200,1.0862,108.06,108.42,BEARISH,111.81,176.66,1,2
2024-01-24 00:00:00-05:00,109.63,109.65,108.45,108.51,9638600,1.08,108.07,108.42,BEARISH,111.13,175.57,0,2
2024-01-25 00:00:00-05:00,109.05,109.57,108.77,109.55,9898900,1.0676,108.23,108.44,BEARISH,112.18,177.26,2,2
2024-01-26 00:00:00-05:00,109.67,110.03,109.07,109.38,7031100,1.0738,108.37,108.41,BEARISH,112.01,176.97,0,1
2024-01-29 00:00:00-05:00,109.27,110.1,109.13,110.09,5849900,1.0387,108.72,108.42,BULLISH,112.73,178.13,2,1
2024-01-30 00:00:00-05:00,109.31,110.28,109.31,110.13,8300000,1.0428,109.14,108.42,BULLISH,112.77,178.19,3,2
2024-01-31 00:00:00-05:00,110.05,110.26,108.84,108.86,14462300,1.0896,109.27,108.37,BULLISH,111.48,176.13,1,2
2024-02-01 00:00:00-05:00,109.54,110.74,108.94,110.71,13946100,1.1234,109.52,108.46,BULLISH,113.36,179.13,2,2
2024-02-02 00:00:00-05:00,110.48,111.93,110.05,111.45,12830200,1.1833,109.76,108.66,BULLISH,114.11,180.33,2,1
2024-02-05 00:00:00-05:00,111.01,111.24,110.22,110.84,9536700,1.1854,109.95,108.83,BULLISH,113.49,179.35,1,1
2024-02-06 00:00:00-05:00,110.98,111.9,110.72,111.84,8722800,1.2012,110.32,109.04,BULLISH,114.5,180.95,2,2
2024-02-07 00:00:00-05:00,112.21,112.92,112.17,112.58,7557100,1.1585,110.65,109.25,BULLISH,115.25,182.15,2,2
2024-02-08 00:00:00-05:00,112.85,112.92,112.14,112.6,8532300,1.1013,111.01,109.48,BULLISH,115.27,182.19,3,2
2024-02-09 00:00:00-05:00,112.75,112.78,112.15,112.77,10106000,1.0938,111.31,109.69,BULLISH,115.44,182.47,3,1
2024-02-12 00:00:00-05:00,112.71,113.25,112.6,112.94,8383200,1.0724,111.62,109.92,BULLISH,115.61,182.73,2,1
2024-02-13 00:00:00-05:00,111.96,111.99,110.98,111.78,14054200,1.0593,111.95,110.09,BULLISH,114.44,180.86,1,2
2024-02-14 00:00:00-05:00,112.64,113.7,112.51,113.65,11889500,1.0869,112.27,110.41,BULLISH,116.33,183.89,2,2
2024-02-15 00:00:00-05:00,113.79,114.57,113.62,114.5,11644100,1.0855,112.61,110.8,BULLISH,117.19,185.26,2,2
2024-02-16 00:00:00-05:00,114.24,114.61,113.69,113.81,8740900,1.0821,112.94,111.09,BULLISH,116.5,184.15,1,1
2024-02-20 00:00:00-05:00,113.42,113.82,113.19,113.46,7392100,1.058,113.12,111.33,BULLISH,116.14,183.57,1,2
2024-02-21 00:00:00-05:00,113.48,113.96,113.16,113.91,8873000,1.0139,113.27,111.55,BULLISH,116.59,184.31,3,2
2024-02-22 00:00:00-05:00,114.58,115.53,114.5,115.32,10604300,0.9595,113.57,111.84,BULLISH,118.02,186.59,3,2
2024-02-23 00:00:00-05:00,115.58,116.18,115.48,115.93,8757400,0.8747,113.92,112.2,BULLISH,118.63,187.57,2,1
2024-02-26 00:00:00-05:00,115.92,116.18,115.63,115.75,7951300,0.841,114.23,112.49,BULLISH,118.46,187.29,1,1
2024-02-27 00:00:00-05:00,116.0,116.04,115.44,115.93,6275500,0.7997,114.69,112.8,BULLISH,118.63,187.57,2,2
2024-02-28 00:00:00-05:00,115.81,116.62,115.71,116.32,8324000,0.8107,114.99,113.1,BULLISH,119.03,188.21,3,2
2024-02-29 00:00:00-05:00,116.68,116.94,116.11,116.68,9662100,0.8141,115.23,113.41,BULLISH,119.39,188.79,3,2
2024-03-01 00:00:00-05:00,116.64,117.25,116.3,117.18,10782400,0.8362,115.61,113.81,BULLISH,119.9,189.6,3,1
2024-03-04 00:00:00-05:00,117.18,117.94,117.18,117.6,11886600,0.8444,116.07,114.14,BULLISH,120.33,190.28,3,1
2024-03-05 00:00:00-05:00,117.34,117.66,116.15,116.64,11999000,0.8803,116.37,114.38,BULLISH,119.36,188.72,2,2
2024-03-06 00:00:00-05:00,117.1,117.9,116.98,117.25,8644800,0.8617,116.59,114.69,BULLISH,119.97,189.71,2,2
2024-03-07 00:00:00-05:00,118.0,118.35,117.71,118.19,7936800,0.8396,116.84,114.99,BULLISH,120.93,191.23,2,2
2024-03-08 00:00:00-05:00,118.47,119.09,117.6,117.93,10157100,0.8796,117.08,115.24,BULLISH,120.66,190.81,2,1
