Date,Open,High,Low,Close,Volume,ATR,FastSMA,SlowSMA,Bias,GeoLevel,PhiLevel,PriceConfluence,TimeConfluence
2023-06-26 00:00:00-04:00,68.01,68.13,67.53,68.1,8955400,,,,NEUTRAL,70.18,110.18,0,1
2023-06-27 00:00:00-04:00,67.91,68.36,67.89,68.3,8965400,,,,NEUTRAL,70.38,110.51,2,2
2023-06-28 00:00:00-04:00,67.99,68.03,67.47,67.84,12800400,,,,NEUTRAL,69.91,109.76,1,2
2023-06-29 00:00:00-04:00,67.51,67.89,67.29,67.78,10018000,,,,NEUTRAL,69.85,109.66,0,2
2023-06-30 00:00:00-04:00,67.93,68.47,67.88,68.37,14266200,,,,NEUTRAL,70.45,110.61,2,1
2023-07-03 00:00:00-04:00,68.26,68.9,68.08,68.9,12817100,,,,NEUTRAL,70.99,111.48,1,1
2023-07-05 00:00:00-04:00,68.61,68.84,68.53,68.78,17579200,,,,NEUTRAL,70.87,111.29,1,2
2023-07-06 00:00:00-04:00,68.47,68.64,68.25,68.6,14881300,,,,NEUTRAL,70.69,111.0,0,2
2023-07-07 00:00:00-04:00,68.44,68.44,67.66,67.71,16405400,,68.26,,NEUTRAL,69.78,109.56,1,1
2023-07-10 00:00:00-04:00,67.81,68.36,67.61,67.69,11953600,,68.22,,NEUTRAL,69.76,109.53,0,1
2023-07-11 00:00:00-04:00,67.75,67.89,67.39,67.79,9812500,,68.16,,NEUTRAL,69.87,109.69,1,2
2023-07-12 00:00:00-04:00,67.91,68.13,67.8,67.95,12680900,,68.17,,NEUTRAL,70.03,109.94,2,2
2023-07-13 00:00:00-04:00,68.07,68.36,67.79,68.24,10581500,,68.23,,NEUTRAL,70.32,110.41,1,2
2023-07-14 00:00:00-04:00,68.25,68.59,68.05,68.47,12475600,0.557,68.24,,NEUTRAL,70.55,110.78,2,1
2023-07-17 00:00:00-04:00,68.21,68.49,68.01,68.26,9496300,0.5484,68.17,,NEUTRAL,70.34,110.45,0,1
2023-07-18 00:00:00-04:00,68.2,68.77,67.98,68.19,10124100,0.5715,68.1,,NEUTRAL,70.27,110.33,1,2
2023-07-19 00:00:00-04:00,68.41,68.95,68.37,68.88,14718700,0.5735,68.13,,NEUTRAL,70.97,111.45,2,2
2023-07-20 00:00:00-04:00,68.95,69.56,68.8,69.47,16106300,0.5853,68.33,,NEUTRAL,71.57,112.4,2,2
2023-07-21 00:00:00-04:00,69.58,69.9,69.5,69.71,13836800,0.5721,68.55,,NEUTRAL,71.81,112.79,1,1
2023-07-24 00:00:00-04:00,69.69,70.08,69.63,69.98,10692500,0.5458,68.79,,NEUTRAL,72.08,113.22,1,1
2023-07-25 00:00:00-04:00,69.9,69.98,69.6,69.96,8576600,0.5504,69.02,68.52,BULLISH,72.07,113.19,1,2
2023-07-26 00:00:00-04:00,69.78,70.25,69.66,70.04,10506500,0.5642,69.22,68.61,BULLISH,72.15,113.33,3,2
2023-07-27 00:00:00-04:00,70.17,70.34,69.43,69.43,10008500,0.5741,69.32,68.67,BULLISH,71.52,112.33,1,2
2023-07-28 00:00:00-04:00,70.03,70.42,69.85,70.14,9672400,0.5616,69.53,68.78,BULLISH,72.25,113.49,2,1
2023-07-31 00:00:00-04:00,70.05,70.26,69.55,69.82,10057100,0.5761,69.71,68.88,BULLISH,71.93,112.97,2,1
2023-08-01 00:00:00-04:00,69.73,70.02,69.39,69.44,9376700,0.5978,69.78,68.93,BULLISH,71.54,112.36,0,2
2023-08-02 00:00:00-04:00,69.17,70.13,69.17,69.69,11509700,0.6261,69.8,68.96,BULLISH,71.79,112.76,2,2
2023-08-03 00:00:00-04:00,69.66,69.83,69.46,69.5,8774900,0.6143,69.78,69.0,BULLISH,71.6,112.45,0,2
2023-08-04 00:00:00-04:00,69.59,69.76,68.74,68.81,10022800,0.6525,69.65,69.01,BULLISH,70.9,111.33,1,1
2023-08-07 00:00:00-04:00,68.94,69.44,68.92,69.37,8875600,0.6334,69.58,69.09,BULLISH,71.47,112.24,1,1
2023-08-08 00:00:00-04:00,69.32,69.4,68.69,68.87,11413600,0.6419,69.45,69.14,BULLISH,70.96,111.43,1,2
2023-08-09 00:00:00-04:00,68.91,69.33,68.8,68.97,11912200,0.6255,69.4,69.2,BULLISH,71.07,111.6,2,2
2023-08-10 00:00:00-04:00,69.19,69.62,68.74,68.84,10357700,0.659,69.26,69.24,BULLISH,70.92,111.38,0,2
2023-08-11 00:00:00-04:00,68.86,69.12,68.7,68.95,7472500,0.6571,69.16,69.28,BEARISH,71.04,111.55,2,1
2023-08-14 00:00:00-04:00,69.04,69.22,68.48,68.6,11483800,0.6827,69.07,69.28,BEARISH,70.69,111.0,2,1
2023-08-15 00:00:00-04:00,68.41,68.52,67.84,67.87,13257500,0.69,68.86,69.26,BEARISH,69.94,109.81,2,2
2023-08-16 00:00:00-04:00,68.14,68.34,67.63,67.71,14814900,0.6755,68.67,69.24,BEARISH,69.78,109.56,2,2
2023-08-17 00:00:00-04:00,67.73,67.9,66.95,67.06,11798000,0.7025,68.47,69.15,BEARISH,69.12,108.5,1,2
2023-08-18 00:00:00-04:00,66.95,67.44,66.88,67.31,12334500,0.692,68.24,69.05,BEARISH,69.37,108.9,3,1
2023-08-21 00:00:00-04:00,67.13,67.26,66.57,66.85,12005400,0.6959,68.02,68.91,BEARISH,68.91,108.17,1,1
