"Date","Type","Price","Index"
"2005-08-02","HIGH","58.1","109"
"2005-10-13","LOW","52.57","160"
"2006-05-05","HIGH","65.87","300"
"2006-07-21","LOW","56.72","353"
"2007-03-05","LOW","63.87","507"
"2007-07-09","HIGH","72.86","594"
"2007-08-16","LOW","65.22","622"
"2007-10-11","HIGH","70.66","661"
"2008-03-10","LOW","54.81","763"
"2008-07-15","LOW","55.98","851"
"2008-09-19","HIGH","63.73","898"
"2008-11-21","LOW","34.53","943"
"2009-03-09","LOW","29.22","1014"
"2009-09-23","HIGH","52.2","1152"
"2010-04-26","HIGH","62.75","1299"
"2010-07-06","LOW","50.17","1348"
"2011-05-02","HIGH","72.7","1555"
"2011-10-04","LOW","55.55","1663"
"2011-10-27","HIGH","65.52","1680"
"2012-03-27","HIGH","72.43","1783"
"2012-06-04","LOW","63.65","1830"
"2012-09-14","HIGH","75.03","1902"
"2012-11-16","LOW","67.55","1945"
"2014-02-05","LOW","96.86","2250"
"2014-03-04","HIGH","106.81","2268"
"2014-05-15","LOW","97.32","2319"
"2014-07-01","HIGH","107.26","2351"
"2014-10-15","LOW","95.9","2425"
"2015-06-24","HIGH","115.89","2598"
"2015-09-29","LOW","98.14","2665"
"2015-11-30","HIGH","108.67","2708"
"2016-02-11","LOW","86.86","2758"
"2016-11-03","LOW","106.57","2943"
"2017-03-22","LOW","124.69","3037"
"2017-03-27","LOW","125.73","3040"
"2017-08-18","LOW","126.46","3141"
"2018-01-24","HIGH","149.9","3249"
"2018-02-09","LOW","138.4","3261"
"2018-08-31","HIGH","164.14","3402"
"2018-12-26","LOW","125.91","3481"
"2019-05-06","HIGH","153.8","3570"
"2019-05-31","LOW","139.57","3588"
"2019-07-31","HIGH","150.35","3630"
"2019-08-28","LOW","140.72","3650"
"2020-01-17","HIGH","163.54","3748"
"2020-03-19","LOW","100.47","3790"
"2020-09-24","LOW","140.89","3921"
"2021-03-15","HIGH","229.96","4038"
"2021-06-25","HIGH","228.64","4110"
"2021-07-19","LOW","208.42","4125"
"2021-11-08","HIGH","239.48","4204"
"2022-06-16","LOW","163.06","4356"
"2022-08-16","HIGH","199.96","4397"
"2022-10-13","LOW","171.4","4438"
"2023-02-02","HIGH","198.32","4514"
"2023-03-24","LOW","171.78","4549"
"2023-07-31","HIGH","198.71","4636"
"2023-10-27","LOW","162.21","4699"
"2024-03-28","HIGH","210.3","4803"
"2024-04-19","LOW","193.09","4818"
"2024-07-31","HIGH","223.86","4888"
"2024-08-05","LOW","202.2","4891"
"2024-11-25","HIGH","242.4","4970"
"2025-04-07","LOW","179.55","5059"
