"Date","Type","Price","Index"
"1993-06-01","HIGH","45.38","103"
"1993-10-15","HIGH","46.95","199"
"1994-01-31","HIGH","48.16","273"
"1994-04-04","LOW","43.89","316"
"1994-08-31","HIGH","47.55","420"
"1994-12-09","LOW","44.7","490"
"1996-02-13","HIGH","66.05","787"
"1996-04-11","LOW","63.12","827"
"1996-05-23","HIGH","67.6","857"
"1996-07-16","LOW","62.84","893"
"1997-02-19","HIGH","81.25","1044"
"1997-04-14","LOW","74.37","1081"
"1997-10-28","LOW","92.18","1219"
"1998-07-20","HIGH","118.41","1400"
"1998-10-08","LOW","95.94","1457"
"1999-07-19","HIGH","140.77","1651"
"1999-10-18","LOW","125.41","1715"
"2000-01-03","HIGH","145.52","1768"
"2000-02-28","LOW","134.8","1806"
"2000-03-24","HIGH","152.75","1825"
"2000-09-01","HIGH","152.08","1937"
"2001-03-22","LOW","111.76","2075"
"2001-05-22","HIGH","130.94","2117"
"2001-09-21","LOW","96.58","2198"
"2002-01-07","HIGH","116.49","2271"
"2002-07-24","LOW","84.34","2408"
"2002-10-10","LOW","80.39","2463"
"2002-12-02","HIGH","93.45","2499"
"2003-03-12","LOW","80.42","2567"
"2004-03-05","HIGH","115.69","2815"
"2004-05-12","LOW","109.73","2862"
"2004-08-13","LOW","106.48","2926"
"2005-03-07","HIGH","122.53","3067"
"2005-04-20","LOW","113.75","3098"
"2005-08-03","HIGH","124.5","3171"
"2005-10-13","LOW","117.68","3221"
"2006-05-08","HIGH","132.47","3362"
"2006-06-14","LOW","123","3388"
"2007-03-14","LOW","138.72","3575"
"2007-07-16","HIGH","154.95","3660"
"2007-08-16","LOW","141.13","3683"
"2007-10-11","HIGH","155.44","3722"
"2008-03-17","LOW","127.66","3829"
"2008-05-19","HIGH","142.66","3873"
"2008-11-21","LOW","80","4004"
"2009-03-06","LOW","68.34","4074"
"2010-02-05","LOW","106.62","4306"
"2010-04-26","HIGH","121.2","4360"
"2010-07-01","LOW","102.74","4407"
"2011-03-16","LOW","125.69","4585"
"2011-05-02","HIGH","136.12","4617"
"2011-10-04","LOW","112.4","4725"
"2012-04-02","HIGH","141.9","4849"
"2012-06-04","LOW","127.82","4892"
"2012-09-14","HIGH","146.58","4964"
"2012-11-16","LOW","135.99","5007"
"2014-02-05","LOW","175.16","5312"
"2014-10-15","LOW","186.25","5487"
"2015-05-20","HIGH","212.58","5636"
"2015-08-24","LOW","189.32","5702"
"2015-11-03","HIGH","210.98","5752"
"2016-02-11","LOW","182.91","5820"
"2016-06-27","LOW","200.05","5914"
"2016-08-15","HIGH","219.02","5948"
"2016-11-04","LOW","208.52","6006"
"2018-01-26","HIGH","287.29","6313"
"2018-02-09","LOW","261.96","6323"
"2018-09-21","HIGH","292.97","6478"
"2018-12-26","LOW","246.77","6543"
"2019-06-03","LOW","274.44","6651"
"2019-07-26","HIGH","302.59","6689"
"2020-02-19","HIGH","338.62","6831"
"2020-03-23","LOW","223.74","6854"
"2021-10-04","LOW","430.05","7241"
"2022-01-04","HIGH","479.35","7305"
"2022-06-17","LOW","367.48","7419"
"2022-08-16","HIGH","430.52","7459"
"2022-10-13","LOW","366.99","7500"
"2023-02-02","HIGH","417.98","7576"
"2023-07-27","HIGH","453.74","7696"
"2023-10-27","LOW","411.74","7761"
"2024-08-05","LOW","518.63","7953"
"2025-02-19","HIGH","614.42","8088"
"2025-04-07","LOW","506.22","8121"
