Date,Symbol,Direction,EntryPrice,Stop,Target1,Target2,Target3,Wave1_RR,Wave2_RR,Wave3_RR,Status
2023-03-01T00:00:00.000Z,SPY,CALL,394.74,384.0,410.85,421.59,437.7,1.5,2.5,4.0,3_WAVE
2023-03-02T00:00:00.000Z,SPY,CALL,397.81,387.41,413.41,423.81,439.41,1.5,2.5,4.0,3_WAVE
2023-03-03T00:00:00.000Z,SPY,CALL,404.19,393.33,420.48,431.34,447.63,1.5,2.5,4.0,3_WAVE
2023-03-06T00:00:00.000Z,SPY,CALL,404.47,393.83,420.43,431.07,447.03,1.5,2.5,4.0,3_WAVE
2023-03-07T00:00:00.000Z,SPY,CALL,398.27,387.55,414.35,425.07,441.15,1.5,2.5,4.0,3_WAVE
2023-03-08T00:00:00.000Z,SPY,CALL,398.92,388.42,414.67,425.17,440.92,1.5,2.5,4.0,3_WAVE
2023-03-09T00:00:00.000Z,SPY,PUT,391.56,402.8,374.7,363.46,346.6,1.5,2.5,4.0,3_WAVE
2023-03-10T00:00:00.000Z,SPY,PUT,385.91,397.81,368.06,356.16,338.31,1.5,2.5,4.0,3_WAVE
2023-03-13T00:00:00.000Z,SPY,PUT,385.36,397.44,367.24,355.16,337.04,1.5,2.5,4.0,3_WAVE
2023-03-14T00:00:00.000Z,SPY,PUT,391.73,404.37,372.77,360.13,341.17,1.5,2.5,4.0,3_WAVE
2023-03-15T00:00:00.000Z,SPY,PUT,389.28,402.22,369.87,356.93,337.52,1.5,2.5,4.0,3_WAVE
2023-03-16T00:00:00.000Z,SPY,PUT,396.11,409.51,376.01,362.61,342.51,1.5,2.5,4.0,3_WAVE
2023-03-17T00:00:00.000Z,SPY,PUT,389.99,403.77,369.32,355.54,334.87,1.5,2.5,4.0,3_WAVE
2023-03-27T00:00:00.000Z,SPY,PUT,396.49,411.57,373.87,358.79,336.17,1.5,2.5,4.0,3_WAVE
2023-03-28T00:00:00.000Z,SPY,PUT,395.6,410.62,373.07,358.05,335.52,1.5,2.5,4.0,3_WAVE
2023-03-29T00:00:00.000Z,SPY,PUT,401.35,415.67,379.87,365.55,344.07,1.5,2.5,4.0,3_WAVE
2023-03-30T00:00:00.000Z,SPY,PUT,403.7,417.18,383.48,370.0,349.78,1.5,2.5,4.0,3_WAVE
2023-03-31T00:00:00.000Z,SPY,PUT,409.39,422.35,389.95,376.99,357.55,1.5,2.5,4.0,3_WAVE
2023-04-03T00:00:00.000Z,SPY,PUT,410.95,423.17,392.62,380.4,362.07,1.5,2.5,4.0,3_WAVE
2023-04-04T00:00:00.000Z,SPY,PUT,408.67,420.41,391.06,379.32,361.71,1.5,2.5,4.0,3_WAVE
2023-04-05T00:00:00.000Z,SPY,CALL,407.6,396.92,423.62,434.3,450.32,1.5,2.5,4.0,3_WAVE
2023-04-06T00:00:00.000Z,SPY,CALL,409.19,399.05,424.4,434.54,449.75,1.5,2.5,4.0,3_WAVE
2023-04-10T00:00:00.000Z,SPY,CALL,409.61,399.53,424.73,434.81,449.93,1.5,2.5,4.0,3_WAVE
2023-04-11T00:00:00.000Z,SPY,CALL,409.72,400.12,424.12,433.72,448.12,1.5,2.5,4.0,3_WAVE
2023-08-15T00:00:00.000Z,SPY,CALL,442.89,433.11,457.56,467.34,482.01,1.5,2.5,4.0,3_WAVE
2023-08-16T00:00:00.000Z,SPY,CALL,439.64,430.34,453.59,462.89,476.84,1.5,2.5,4.0,3_WAVE
2023-08-17T00:00:00.000Z,SPY,CALL,436.29,426.93,450.33,459.69,473.73,1.5,2.5,4.0,3_WAVE
2023-08-18T00:00:00.000Z,SPY,PUT,436.5,446.22,421.92,412.2,397.62,1.5,2.5,4.0,3_WAVE
2023-08-21T00:00:00.000Z,SPY,PUT,439.34,449.4,424.25,414.19,399.1,1.5,2.5,4.0,3_WAVE
2023-08-22T00:00:00.000Z,SPY,PUT,438.15,447.71,423.81,414.25,399.91,1.5,2.5,4.0,3_WAVE
2023-08-23T00:00:00.000Z,SPY,PUT,443.03,452.89,428.24,418.38,403.59,1.5,2.5,4.0,3_WAVE
2023-08-24T00:00:00.000Z,SPY,PUT,436.89,447.01,421.71,411.59,396.41,1.5,2.5,4.0,3_WAVE
2023-08-25T00:00:00.000Z,SPY,PUT,439.97,450.41,424.31,413.87,398.21,1.5,2.5,4.0,3_WAVE
2023-08-29T00:00:00.000Z,SPY,PUT,449.16,459.7,433.35,422.81,407.0,1.5,2.5,4.0,3_WAVE
2023-08-30T00:00:00.000Z,SPY,PUT,451.01,460.97,436.07,426.11,411.17,1.5,2.5,4.0,3_WAVE
2023-08-31T00:00:00.000Z,SPY,PUT,450.35,460.21,435.56,425.7,410.91,1.5,2.5,4.0,3_WAVE
2023-09-01T00:00:00.000Z,SPY,PUT,451.19,461.09,436.34,426.44,411.59,1.5,2.5,4.0,3_WAVE
