date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2023-04-26T00:00:00.000Z,404.36,CALL,0.6,CALL,0.65,4,UP,CALL,0.5836208147016131,60.9,PUT,0.55,-2.36,3,1,0,SUPER_3,CALL,3,404.36,396.06,415.85,423.51,435.0,0.61
2023-04-28T00:00:00.000Z,415.93,CALL,0.6,HOLD,0.0,1,UP,CALL,0.5957004287569192,63.7,CALL,0.65,0.9,3,0,1,SUPER_3,CALL,3,415.93,407.51,428.56,436.98,449.61,0.62
2023-05-03T00:00:00.000Z,408.02,CALL,0.6,CALL,0.65,4,UP,HOLD,0.0,49.5,CALL,0.55,0.91,3,0,1,SUPER_3,CALL,3,408.02,398.38,421.37,430.27,443.62,0.6
2023-05-17T00:00:00.000Z,415.23,CALL,0.6,CALL,0.65,4,UP,HOLD,0.0,51.3,CALL,0.65,0.58,3,0,1,SUPER_3,CALL,3,415.23,405.61,428.55,437.43,450.75,0.63
2023-05-18T00:00:00.000Z,419.23,CALL,0.6,HOLD,0.0,5,UP,CALL,0.5777641116980964,56.6,CALL,0.65,1.72,3,0,1,SUPER_3,CALL,3,419.23,410.27,432.67,441.63,455.07,0.61
2023-05-19T00:00:00.000Z,418.62,CALL,0.6,HOLD,0.0,1,UP,CALL,0.5744161509089554,55.8,CALL,0.65,1.71,3,0,1,SUPER_3,CALL,3,418.62,409.52,432.27,441.37,455.02,0.61
2023-05-23T00:00:00.000Z,414.09,CALL,0.6,HOLD,0.0,3,UP,CALL,0.5804369858546339,57.5,CALL,0.65,0.94,3,0,1,SUPER_3,CALL,3,414.09,405.79,426.54,434.84,447.29,0.61
2023-05-24T00:00:00.000Z,411.09,CALL,0.6,CALL,0.65,4,UP,CALL,0.575923210968611,56.3,PUT,0.55,-1.0,3,1,0,SUPER_3,CALL,3,411.09,402.12,423.51,431.79,444.21,0.61
2023-05-26T00:00:00.000Z,420.02,CALL,0.6,HOLD,0.0,1,UP,CALL,0.5656742916592501,54.0,CALL,0.65,0.33,3,0,1,SUPER_3,CALL,3,420.02,411.64,432.59,440.97,453.54,0.61
2023-05-31T00:00:00.000Z,417.85,CALL,0.6,HOLD,0.0,3,UP,CALL,0.5763013072279182,57.0,CALL,0.65,0.91,3,0,1,SUPER_3,CALL,3,417.85,409.45,430.45,438.85,451.45,0.61
2023-06-05T00:00:00.000Z,427.1,CALL,0.6,HOLD,0.0,1,UP,CALL,0.6025217745470832,64.8,CALL,0.65,1.69,3,0,1,SUPER_3,CALL,3,427.1,417.9,440.9,450.1,463.9,0.62
2023-06-07T00:00:00.000Z,426.55,CALL,0.6,HOLD,0.0,3,UP,CALL,0.6067795532119789,65.9,CALL,0.65,2.08,3,0,1,SUPER_3,CALL,3,426.55,417.67,439.87,448.75,462.07,0.62
2023-06-09T00:00:00.000Z,429.9,CALL,0.6,HOLD,0.0,5,UP,CALL,0.614151307925762,67.8,CALL,0.65,0.46,3,0,1,SUPER_3,CALL,3,429.9,421.24,442.89,451.55,464.54,0.62
2023-06-13T00:00:00.000Z,436.66,CALL,0.6,CALL,0.65,2,UP,PUT,0.6,71.4,CALL,0.65,2.02,3,1,0,SUPER_3,CALL,3,436.66,427.37,449.53,458.11,470.98,0.63
2023-06-15T00:00:00.000Z,442.6,CALL,0.6,CALL,0.65,4,UP,PUT,0.6,75.5,CALL,0.65,3.14,3,1,0,SUPER_3,CALL,3,442.6,432.72,456.28,465.4,479.08,0.63
2023-06-16T00:00:00.000Z,439.46,CALL,0.6,HOLD,0.0,5,UP,CALL,0.621545640955822,69.3,CALL,0.65,2.22,3,0,1,SUPER_3,CALL,3,439.46,430.54,452.84,461.76,475.14,0.62
2023-06-20T00:00:00.000Z,437.18,CALL,0.6,HOLD,0.0,1,UP,CALL,0.615945935517302,67.3,CALL,0.65,0.78,3,0,1,SUPER_3,CALL,3,437.18,428.18,450.68,459.68,473.18,0.62
2023-06-21T00:00:00.000Z,434.94,CALL,0.6,CALL,0.65,2,UP,CALL,0.6076511697027853,64.6,HOLD,0.0,-0.39,3,0,1,SUPER_3,CALL,3,434.94,425.36,448.2,457.04,470.3,0.62
