date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2023-04-28T00:00:00.000Z,415.93,CALL,0.6,CALL,0.65,2,UP,CALL,0.5957004287569192,63.7,CALL,0.65,0.9,4,0,0,ULTRA_4,CALL,4,415.93,406.98,428.56,436.98,449.61,0.62
2023-05-19T00:00:00.000Z,418.62,CALL,0.6,CALL,0.65,2,UP,CALL,0.5744161509089554,55.8,CALL,0.65,1.71,4,0,0,ULTRA_4,CALL,4,418.62,408.95,432.27,441.37,455.02,0.62
2023-05-23T00:00:00.000Z,414.09,CALL,0.6,CALL,0.65,4,UP,CALL,0.5804369858546339,57.5,CALL,0.65,0.94,4,0,0,ULTRA_4,CALL,4,414.09,405.27,426.54,434.84,447.29,0.62
2023-05-26T00:00:00.000Z,420.02,CALL,0.6,CALL,0.65,2,UP,CALL,0.5656742916592501,54.0,CALL,0.65,0.33,4,0,0,ULTRA_4,CALL,4,420.02,411.12,432.59,440.97,453.54,0.62
2023-05-31T00:00:00.000Z,417.85,CALL,0.6,CALL,0.65,4,UP,CALL,0.5763013072279182,57.0,CALL,0.65,0.91,4,0,0,ULTRA_4,CALL,4,417.85,408.92,430.45,438.85,451.45,0.62
2023-06-05T00:00:00.000Z,427.1,CALL,0.6,CALL,0.65,2,UP,CALL,0.6025217745470832,64.8,CALL,0.65,1.69,4,0,0,ULTRA_4,CALL,4,427.1,417.33,440.9,450.1,463.9,0.63
2023-06-07T00:00:00.000Z,426.55,CALL,0.6,CALL,0.65,4,UP,CALL,0.6067795532119789,65.9,CALL,0.65,2.08,4,0,0,ULTRA_4,CALL,4,426.55,417.12,439.87,448.75,462.07,0.63
2023-06-20T00:00:00.000Z,437.18,CALL,0.6,CALL,0.65,2,UP,CALL,0.615945935517302,67.3,CALL,0.65,0.78,4,0,0,ULTRA_4,CALL,4,437.18,427.62,450.68,459.68,473.18,0.63
2023-07-05T00:00:00.000Z,443.13,CALL,0.6,CALL,0.65,2,UP,CALL,0.6058699000779907,67.7,CALL,0.65,1.6,4,0,0,ULTRA_4,CALL,4,443.13,434.59,455.19,463.23,475.29,0.63
2023-07-12T00:00:00.000Z,446.02,CALL,0.6,CALL,0.65,2,UP,CALL,0.592303457522505,62.8,CALL,0.65,0.65,4,0,0,ULTRA_4,CALL,4,446.02,438.05,457.27,464.77,476.02,0.62
2023-07-14T00:00:00.000Z,449.28,CALL,0.6,CALL,0.65,4,UP,CALL,0.5915988696856593,62.5,CALL,0.65,2.45,4,0,0,ULTRA_4,CALL,4,449.28,441.29,460.56,468.08,479.36,0.62
