symbol,price,change_pct,pivot_price,pivot_date,sq9_level,sq9_type,distance_pct,direction,check_count,status,target,stop,rr_ratio,is_etf,scan_time
MSFT,473.89,0.2,342.95,2025-04-07,473.89,SUPPORT,-0.0,CALL,5,READY,484.83,463.07,1.0,False,2026-01-05 19:57:11
WMT,113.38,0.55,79.27,2025-04-07,113.49,RESIST,0.1,PUT,5,READY,108.23,118.88,0.9,False,2026-01-05 19:57:11
SPY,687.82,0.68,481.8,2025-04-07,686.44,SUPPORT,-0.2,CALL,5,READY,699.6,673.4,0.8,True,2026-01-05 19:57:11
XLI,160.1,1.34,118.6,2025-04-07,159.78,SUPPORT,-0.2,CALL,5,READY,166.16,153.52,0.9,True,2026-01-05 19:57:11
DIA,490.67,1.46,365.45,2025-04-07,489.15,SUPPORT,-0.31,CALL,5,READY,500.27,478.15,0.8,True,2026-01-05 19:57:11
ORCL,192.87,-1.45,117.98,2025-04-07,192.15,SUPPORT,-0.37,CALL,5,READY,199.14,185.28,0.8,False,2026-01-05 19:57:11
QQQ,617.91,0.78,402.39,2025-04-07,615.52,SUPPORT,-0.39,CALL,5,READY,627.99,603.18,0.7,True,2026-01-05 19:57:11
XLV,154.7,-0.52,131.4,2025-04-07,155.33,RESIST,0.4,PUT,5,READY,149.16,161.62,0.8,True,2026-01-05 19:57:11
TSLA,455.14,3.9,214.25,2025-04-07,457.42,RESIST,0.5,PUT,5,READY,446.78,468.17,0.6,False,2026-01-05 19:57:11
CVX,164.57,5.56,127.59,2025-04-11,163.73,SUPPORT,-0.51,CALL,5,READY,170.19,157.39,0.8,False,2026-01-05 19:57:11
LLY,1041.43,-3.6,621.5,2025-08-08,1035.55,SUPPORT,-0.56,CALL,5,READY,1051.7,1019.52,0.5,False,2026-01-05 19:57:11
META,660.69,1.58,478.72,2025-04-21,656.88,SUPPORT,-0.58,CALL,5,READY,669.75,644.12,0.5,False,2026-01-05 19:57:11
AMZN,232.76,2.77,161.38,2025-04-07,231.15,SUPPORT,-0.69,CALL,5,READY,238.81,223.61,0.7,False,2026-01-05 19:57:11
GOOGL,315.81,0.21,140.14,2025-04-07,318.2,RESIST,0.76,PUT,5,READY,309.34,327.18,0.6,False,2026-01-05 19:57:11
IWM,253.35,1.84,171.73,2025-04-07,251.37,SUPPORT,-0.78,CALL,5,READY,259.36,243.5,0.6,True,2026-01-05 19:57:11
JPM,335.61,3.11,200.22,2025-04-07,338.55,RESIST,0.88,PUT,5,READY,329.42,347.82,0.5,False,2026-01-05 19:57:11
MA,572.39,1.64,463.61,2025-04-07,577.52,RESIST,0.9,PUT,5,READY,565.57,589.6,0.4,False,2026-01-05 19:57:11
XLF,56.35,2.59,42.8,2025-04-07,56.88,RESIST,0.95,PUT,5,READY,53.18,60.72,0.7,True,2026-01-05 19:57:11
CSCO,75.68,-0.48,51.21,2025-04-07,74.93,SUPPORT,-0.98,CALL,5,READY,79.32,70.67,0.7,False,2026-01-05 19:57:11
XOM,125.42,2.26,95.18,2025-04-10,126.7,RESIST,1.02,PUT,3,WATCHING,121.13,132.39,0.6,True,2026-01-05 19:57:11
UNH,344.61,2.44,231.57,2025-08-01,341.05,SUPPORT,-1.03,CALL,3,WATCHING,350.34,331.88,0.5,False,2026-01-05 19:57:11
AAPL,266.38,-1.71,168.63,2025-04-08,263.6,SUPPORT,-1.04,CALL,3,WATCHING,271.78,255.55,0.5,False,2026-01-05 19:57:11
V,355.73,2.67,297.39,2025-04-07,351.38,SUPPORT,-1.22,CALL,3,WATCHING,360.81,342.07,0.4,False,2026-01-05 19:57:11
CRM,256.98,1.32,221.6,2025-11-21,260.38,RESIST,1.32,PUT,3,WATCHING,252.37,268.51,0.4,False,2026-01-05 19:57:11
ABBV,219.26,-4.38,160.33,2025-04-09,222.38,RESIST,1.42,PUT,3,WATCHING,214.98,229.9,0.4,False,2026-01-05 19:57:11
DIS,115.08,2.89,79.22,2025-04-07,113.44,SUPPORT,-1.43,CALL,3,WATCHING,118.83,108.18,0.5,False,2026-01-05 19:57:11
NVDA,186.83,-1.07,86.6,2025-04-07,183.77,SUPPORT,-1.64,CALL,1,PARTIAL,190.61,177.05,0.4,False,2026-01-05 19:57:11
AMD,221.2,-1.02,76.48,2025-04-08,224.86,RESIST,1.65,PUT,1,PARTIAL,217.42,232.42,0.3,False,2026-01-05 19:57:11
MRK,106.42,-0.03,71.26,2025-05-15,103.87,SUPPORT,-2.39,CALL,0,PARTIAL,109.03,98.84,0.3,False,2026-01-05 19:57:11
INTC,39.44,0.17,17.67,2025-04-08,38.48,SUPPORT,-2.44,CALL,0,PARTIAL,41.65,35.44,0.6,False,2026-01-05 19:57:11
BAC,57.0,1.88,32.53,2025-04-09,55.55,SUPPORT,-2.55,CALL,0,PARTIAL,59.34,51.88,0.5,False,2026-01-05 19:57:11
COST,875.56,2.46,844.06,2025-12-16,903.17,RESIST,3.15,PUT,0,PARTIAL,873.36,918.25,0.1,False,2026-01-05 19:57:11
HD,344.93,-0.26,320.39,2025-04-09,357.19,RESIST,3.55,PUT,0,PARTIAL,338.54,366.7,0.3,False,2026-01-05 19:57:11
