Timeframe,Ticker,Name,Type,Performance
1_week,XLV,Healthcare,defensive,1.92
1_week,XLP,Consumer Stap,defensive,1.47
1_week,XLB,Materials,cyclical,1.05
1_week,XLRE,Real Estate,defensive,0.54
1_week,XLF,Financials,cyclical,0.43
1_week,XLI,Industrials,cyclical,-0.59
1_week,XLE,Energy,cyclical,-1.02
1_week,XLY,Consumer Disc,cyclical,-1.41
1_week,XLU,Utilities,defensive,-1.57
1_week,XLK,Technology,cyclical,-3.68
2_week,XLV,Healthcare,defensive,4.98
2_week,XLP,Consumer Stap,defensive,1.92
2_week,XLB,Materials,cyclical,-0.32
2_week,XLRE,Real Estate,defensive,-0.82
2_week,XLE,Energy,cyclical,-1.03
2_week,XLU,Utilities,defensive,-1.68
2_week,XLF,Financials,cyclical,-2.45
2_week,XLI,Industrials,cyclical,-2.96
2_week,XLY,Consumer Disc,cyclical,-5.63
2_week,XLK,Technology,cyclical,-7.56
1_month,XLV,Healthcare,defensive,5.88
1_month,XLE,Energy,cyclical,1.53
1_month,XLP,Consumer Stap,defensive,-1.5
1_month,XLF,Financials,cyclical,-2.71
1_month,XLB,Materials,cyclical,-2.99
1_month,XLI,Industrials,cyclical,-3.41
1_month,XLU,Utilities,defensive,-3.55
1_month,XLRE,Real Estate,defensive,-4.1
1_month,XLY,Consumer Disc,cyclical,-5.12
1_month,XLK,Technology,cyclical,-6.94
3_month,XLV,Healthcare,defensive,12.81
3_month,XLK,Technology,cyclical,3.87
3_month,XLU,Utilities,defensive,3.39
3_month,XLE,Energy,cyclical,1.35
3_month,XLI,Industrials,cyclical,-2.31
3_month,XLRE,Real Estate,defensive,-2.64
3_month,XLP,Consumer Stap,defensive,-3.27
3_month,XLY,Consumer Disc,cyclical,-3.51
3_month,XLF,Financials,cyclical,-3.73
3_month,XLB,Materials,cyclical,-6.06
6_month,XLK,Technology,cyclical,17.66
6_month,XLV,Healthcare,defensive,16.99
6_month,XLE,Energy,cyclical,8.13
6_month,XLU,Utilities,defensive,7.93
6_month,XLI,Industrials,cyclical,4.41
6_month,XLY,Consumer Disc,cyclical,3.98
6_month,XLF,Financials,cyclical,1.45
6_month,XLB,Materials,cyclical,-0.97
6_month,XLRE,Real Estate,defensive,-0.99
6_month,XLP,Consumer Stap,defensive,-5.39
1_year,XLK,Technology,cyclical,18.2
1_year,XLU,Utilities,defensive,9.52
1_year,XLV,Healthcare,defensive,8.21
1_year,XLI,Industrials,cyclical,7.69
1_year,XLY,Consumer Disc,cyclical,5.07
1_year,XLF,Financials,cyclical,4.3
1_year,XLP,Consumer Stap,defensive,-2.89
1_year,XLRE,Real Estate,defensive,-5.91
1_year,XLB,Materials,cyclical,-6.59
1_year,XLE,Energy,cyclical,-7.18
2_year,XLK,Technology,cyclical,47.32
2_year,XLF,Financials,cyclical,47.0
2_year,XLU,Utilities,defensive,41.95
2_year,XLI,Industrials,cyclical,41.25
2_year,XLY,Consumer Disc,cyclical,34.23
2_year,XLV,Healthcare,defensive,19.82
2_year,XLRE,Real Estate,defensive,12.83
2_year,XLP,Consumer Stap,defensive,12.18
2_year,XLB,Materials,cyclical,7.39
2_year,XLE,Energy,cyclical,5.44
