date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2023-05-01T00:00:00.000Z,415.51,CALL,0.6,CALL,0.65,2,UP,CALL,0.573043813724311,57.8,CALL,0.65,0.7,4,0,0,ULTRA_4,CALL,4,415.51,406.54,428.17,436.61,449.27,0.62
2023-05-10T00:00:00.000Z,412.85,CALL,0.6,CALL,0.65,4,UP,CALL,0.5687176865226847,54.8,CALL,0.65,1.18,4,0,0,ULTRA_4,CALL,4,412.85,402.65,427.25,436.85,451.25,0.62
2023-05-22T00:00:00.000Z,418.79,CALL,0.6,CALL,0.65,2,UP,CALL,0.573460520858962,55.6,CALL,0.65,1.4,4,0,0,ULTRA_4,CALL,4,418.79,409.82,431.45,439.89,452.55,0.62
2023-05-30T00:00:00.000Z,420.18,CALL,0.6,CALL,0.65,2,UP,CALL,0.5677603709717068,54.5,CALL,0.65,0.33,4,0,0,ULTRA_4,CALL,4,420.18,411.0,433.14,441.78,454.74,0.62
2023-06-01T00:00:00.000Z,421.82,CALL,0.6,CALL,0.65,4,UP,CALL,0.6008488118649389,63.3,CALL,0.65,2.61,4,0,0,ULTRA_4,CALL,4,421.82,412.41,435.11,443.97,457.26,0.63
2023-06-06T00:00:00.000Z,428.03,CALL,0.6,CALL,0.65,2,UP,CALL,0.6053881145693785,65.4,CALL,0.65,1.87,4,0,0,ULTRA_4,CALL,4,428.03,418.28,441.8,450.98,464.75,0.63
2023-06-08T00:00:00.000Z,429.13,CALL,0.6,CALL,0.65,4,UP,CALL,0.6088438536232386,66.3,CALL,0.65,1.73,4,0,0,ULTRA_4,CALL,4,429.13,419.89,442.18,450.88,463.93,0.63
2023-07-06T00:00:00.000Z,439.66,CALL,0.6,CALL,0.65,2,UP,CALL,0.5908576973148231,62.3,CALL,0.65,0.75,4,0,0,ULTRA_4,CALL,4,439.66,431.03,451.84,459.96,472.14,0.62
2023-07-13T00:00:00.000Z,449.56,CALL,0.6,CALL,0.65,2,UP,CALL,0.5943194033183106,63.3,CALL,0.65,2.25,4,0,0,ULTRA_4,CALL,4,449.56,441.4,461.08,468.76,480.28,0.62
2023-07-17T00:00:00.000Z,450.84,CALL,0.6,CALL,0.65,4,UP,CALL,0.5782107438946046,59.2,CALL,0.65,2.54,4,0,0,ULTRA_4,CALL,4,450.84,442.93,462.0,469.44,480.6,0.62
